Level,Sublevel,Token,Lexeme,Type,Line Number,Is Function/Class,Return Type
0,1,CLASS,ShiftReduceParser,CLASS,1,1,None,0,
1,1,ShiftReduceParser,self,CLASS,1,0,None,0,
1,2,VARIABLE,srname,str,4,0,None,0,
1,3,FUNCTION,__init__,FUNCTION,3,1,None,8,
2,1,VARIABLE,name_,str,3,0,None,0,
2,2,VARIABLE,a,int,5,0,None,0,
1,4,CLASS,LR0Parser,CLASS,9,1,None,0,
2,1,LR0Parser,self,CLASS,9,0,None,0,
2,2,VARIABLE,lr0name,str,12,0,None,0,
2,3,FUNCTION,__init__,FUNCTION,11,1,None,8,
3,1,VARIABLE,myname_,str,11,0,None,0,
3,2,VARIABLE,parentname_,str,11,0,None,0,
1,5,CLASS,CLRParser,CLASS,16,1,None,0,
2,1,CLRParser,self,CLASS,16,0,None,0,
2,2,VARIABLE,clrname,str,19,0,None,0,
2,3,FUNCTION,__init__,FUNCTION,18,1,None,8,
3,1,VARIABLE,myname_,str,18,0,None,0,
3,2,VARIABLE,parentname_,str,18,0,None,0,
2,4,CLASS,LALRParser,CLASS,23,1,None,0,
3,1,LALRParser,self,CLASS,23,0,None,0,
3,2,VARIABLE,lalrname,str,26,0,None,0,
3,3,FUNCTION,__init__,FUNCTION,25,1,None,8,
4,1,VARIABLE,myname_,str,25,0,None,0,
4,2,VARIABLE,clrname_,str,25,0,None,0,
4,3,VARIABLE,srname_,str,25,0,None,0,
3,4,FUNCTION,print_name,FUNCTION,29,1,None,0,
0,2,FUNCTION,main,FUNCTION,38,1,None,32,
1,1,OBJECT,obj,LALRParser,39,0,None,0,
